Частота,"Сигнал 0","Сигнал 0 + шум","Сигнал 1","Сигнал 1 + шум","Сигнал 2","Сигнал 2 + шум"
0,1.5221157667611E-17,0.0010516114487088,1.412781003296E-15,0.0039256466280774,1.3915091301442E-15,0.00054750927646855
1,1.9940320403872E-17,0.0015564684864681,1.4780850184493E-15,0.0029675200965312,1.5162190412276E-15,0.0040039771277558
2,2.3101875829543E-17,0.0016782464698838,1.5610252330308E-15,0.00072264729497143,1.5885938744321E-15,0.0017340649771596
3,4.127654322941E-17,0.0014233518962306,1.7915989974139E-15,0.002419315807184,1.7293429738852E-15,0.0069361868666892
4,4.9684895918123E-17,0.0047610166565466,2.0783283318439E-15,0.0041892125462428,2.119737763897E-15,0.0027194279718821
5,4.2570539289392E-17,0.0051720759028084,2.8427404156271E-15,0.002031894925398,2.9381993400074E-15,0.0041218046523283
6,2.1307126232712E-17,0.0029453591428026,2.7416262111229E-15,0.0025458854055151,2.6556399971687E-15,0.00073511615112469
7,6.731373519676E-18,0.0020639095042529,2.898133266302E-15,0.0017332811357448,2.8341197346642E-15,0.0019919761041964
8,1.2606259251791E-17,0.0055454605403239,2.8384530690393E-15,0.0019725160381145,2.6993119517625E-15,0.0037113927225689
9,2.694968907061E-17,0.0022114629212068,3.2887996215433E-15,0.0014571978291054,3.2316154201238E-15,0.0026551149531447
10,3.1476469927455E-17,0.0014635903730361,3.1873938080613E-15,0.0010236499402391,3.1735301647294E-15,0.0017780763291641
11,7.3911889395847E-17,0.0022341429844215,3.1897938720653E-15,0.00045577779034708,3.0719094110659E-15,0.0024189410851857
12,5.021741546602E-17,0.00071701706436124,3.5495867431636E-15,0.0056995730957973,3.6183943349935E-15,0.0037815507865952
13,1.9243774442677E-17,0.0030626609695608,2.7711781493533E-15,0.0038890885046486,2.7253501615556E-15,0.0043215883451962
14,3.5521552064124E-17,0.0017163206786312,2.8824193354331E-15,0.00094533124678103,2.9079202050053E-15,0.0013365908588717
15,1.0183547810213E-17,0.0041627911572601,2.3635062460894E-15,0.00089499830573477,2.2415913119386E-15,0.003454775666876
16,3.554924355208E-17,0.0012289633171634,2.2891479927392E-15,0.004599715319046,2.2071456556936E-15,0.0013674475345176
17,6.9986179339485E-17,0.0039482847533877,1.472242500829E-15,0.0025892583608108,1.1894118951379E-15,0.0024680010221406
18,9.2191940806723E-17,0.001973302444152,1.7535914351434E-15,0.0024500700243751,1.9238172648249E-15,0.0046425240297464
19,3.0439551593381E-16,0.0033519103910265,6.2373430676536E-16,0.002472435593883,1.2283146602273E-15,0.0024994202509504
20,1.2407894352732E-16,0.0019367272271889,8.3864873232446E-16,0.0054030893472744,2.1212076011343E-15,0.0028542162598697
21,2.9001375792602E-16,0.0043909424208566,1.4470427294651E-15,0.0034436507212566,2.629325809184E-15,0.0014806232765267
22,1.2924253306482E-16,0.0015203464184245,3.5160480358223E-16,0.0023065693875917,4.8765712933683E-16,0.0040350189928182
23,9.573621169453E-17,0.0022550771766955,7.0528567816539E-16,0.0025921618758198,1.1121660722703E-15,0.0021168842540293
24,6.8163659712713E-17,0.002040312409952,3.804588755871E-16,0.0020630857489061,3.7856793685155E-16,0.0025288425505338
25,1.0412426346688E-16,0.0034311380138216,1.0806527412909E-15,0.0023497183003134,1.3502761425198E-15,0.0014041035916115
26,2.4586083815626E-17,0.0034784952048377,5.7638414689685E-16,0.0015011637065346,5.6583527417511E-16,0.0012410662364246
27,8.812399838792E-17,0.0036951629524577,5.3031939605326E-16,0.0037715474024919,7.0210729389095E-16,0.0034016391104763
28,4.6131051687963E-17,0.0023444438049048,1.3803342583512E-15,0.0019558442451726,1.448418751572E-15,0.00082509236840292
29,6.8509805495473E-17,0.00033931966548132,1.3786734780618E-15,0.00083133751648247,1.6604531683976E-15,0.0055445955854857
30,3.5740194186891E-17,0.0032948018131162,8.9384754185902E-16,0.0031368037577707,8.2933114777052E-16,0.004061182009932
31,9.4304508557991E-17,0.0035072721011606,1.131787937179E-15,0.0041774130131726,1.4191562507823E-15,0.0012944626584482
32,1.082855127564E-16,0.0038654436400145,1.0061549385015E-15,0.0027807541423874,1.1676576423399E-15,0.0030232901023866
